"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,061,851,173,980","0.83%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,797,091,663,669","1.05%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,069,661,550,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,069,661,550,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$858,775,248,536","0.00%","USA","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$682,137,635,030","0.00%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$495,092,886,801","1.20%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$464,227,709,259","2.48%","USA","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$449,717,641,573","3.21%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$393,319,656,058","0.75%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$390,761,555,179","2.98%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$383,350,127,676","1.57%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$381,719,320,882","0.00%","USA","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$364,003,363,822","2.34%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$363,614,700,000","0.11%","USA","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$348,734,292,858","1.06%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$344,806,425,523","3.15%","USA","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$332,123,756,907","0.56%","USA","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$328,012,189,602","2.35%","USA","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$323,499,400,000","0.00%","USA","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$288,131,435,184","3.08%","USA","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$287,484,191,380","3.42%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$280,972,581,839","2.50%","USA","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$276,552,623,233","2.72%","USA","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$265,863,404,400","2.57%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$250,715,521,854","2.46%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$233,101,067,753","3.00%","USA","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$219,474,994,200","1.56%","USA","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$218,456,847,205","0.22%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$202,637,388,053","0.76%","USA","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$195,170,097,933","3.15%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$194,773,485,600","2.11%","USA","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$194,256,847,029","0.37%","USA","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$192,333,623,341","1.69%","USA","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$183,066,000,000","1.06%","USA","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$176,698,309,119","1.49%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$173,435,086,280","0.00%","USA","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$167,080,719,860","2.01%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$164,884,832,969","6.41%","USA","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$162,421,903,685","1.41%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$158,980,749,514","0.00%","USA","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$157,487,588,814","2.64%","USA","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$156,940,942,000","0.00%","USA","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$156,864,971,243","4.89%","USA","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$153,296,161,019","2.96%","USA","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$152,009,366,269","3.39%","USA","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$151,204,449,381","3.00%","USA","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$150,097,803,661","1.01%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$149,767,483,914","2.81%","USA","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$147,491,197,556","2.13%","USA","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$145,030,211,372","4.37%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$144,381,199,322","1.83%","USA","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$144,064,926,876","3.41%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$140,416,703,851","2.92%","USA","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$132,540,000,000","0.00%","USA","Analyze"
